latest_degree,specialization,currently_employed,current_salary,location,recommended_for_job
PhD,Electrical Engineering,0,69915,Los Angeles,0
PhD,Electrical Engineering,0,67219,Chicago,1
Bachelor,Computer Science,0,110879,Houston,0
Bachelor,Business Administration,0,94644,Los Angeles,0
Master,Electrical Engineering,1,90279,Los Angeles,1
Bachelor,Business Administration,1,83028,New York,1
Master,Computer Science,1,30126,San Francisco,0
Bachelor,Business Administration,1,82329,San Francisco,1
PhD,Computer Science,0,57632,San Francisco,0
Bachelor,Computer Science,0,95310,New York,1
Master,Computer Science,0,85176,Chicago,1
Bachelor,Computer Science,1,116066,New York,0
PhD,Business Administration,1,74327,Los Angeles,0
Master,Computer Science,0,98904,Houston,1
PhD,Computer Science,0,33797,Los Angeles,1
PhD,Business Administration,1,77882,Los Angeles,0
Master,Electrical Engineering,1,43718,Houston,1
PhD,Business Administration,1,64560,San Francisco,1
PhD,Business Administration,1,106589,New York,1
Bachelor,Business Administration,0,52116,Chicago,1
PhD,Computer Science,1,66244,Los Angeles,0
PhD,Computer Science,1,31645,Los Angeles,0
PhD,Computer Science,0,77523,Chicago,1
PhD,Electrical Engineering,0,49256,New York,1
Master,Computer Science,0,83173,Los Angeles,0
Bachelor,Electrical Engineering,1,67430,Chicago,1
PhD,Computer Science,1,69282,Los Angeles,1
PhD,Business Administration,1,93374,San Francisco,1
Master,Computer Science,1,98244,San Francisco,1
PhD,Electrical Engineering,0,41694,Los Angeles,1
Master,Electrical Engineering,0,86264,Los Angeles,0
Bachelor,Computer Science,1,105060,San Francisco,1
Bachelor,Business Administration,1,87545,Los Angeles,1
PhD,Computer Science,1,69224,New York,1
PhD,Computer Science,0,43224,New York,0
PhD,Computer Science,1,70738,Houston,1
Master,Business Administration,0,55150,New York,1
PhD,Electrical Engineering,1,93731,Los Angeles,0
PhD,Business Administration,0,79688,Los Angeles,0
Bachelor,Electrical Engineering,0,103509,Chicago,0
PhD,Electrical Engineering,1,38577,New York,0
Bachelor,Electrical Engineering,0,38070,San Francisco,1
PhD,Business Administration,0,38666,San Francisco,1
Bachelor,Computer Science,1,87761,Houston,1
PhD,Computer Science,0,66368,Chicago,0
Bachelor,Computer Science,1,36783,San Francisco,1
Master,Computer Science,0,71914,Houston,0
Bachelor,Computer Science,0,100507,New York,0
Bachelor,Business Administration,0,109026,Chicago,1
Bachelor,Business Administration,0,97526,Chicago,0
PhD,Business Administration,1,100835,Los Angeles,0
PhD,Business Administration,1,75765,New York,1
PhD,Business Administration,1,49956,Chicago,1
Master,Business Administration,0,117895,Houston,0
Master,Business Administration,0,76240,San Francisco,1
Bachelor,Computer Science,1,67148,New York,1
Master,Electrical Engineering,1,34757,New York,0
Bachelor,Business Administration,1,49097,Chicago,0
Bachelor,Electrical Engineering,1,40395,Chicago,1
Bachelor,Business Administration,0,46241,Chicago,1
Master,Business Administration,1,57696,Houston,0
PhD,Computer Science,0,100480,Los Angeles,1
Master,Electrical Engineering,1,76163,Chicago,0
Bachelor,Computer Science,0,49816,Los Angeles,0
Bachelor,Computer Science,1,79840,Los Angeles,1
Master,Electrical Engineering,1,82853,New York,1
Bachelor,Computer Science,0,54917,San Francisco,1
Bachelor,Business Administration,0,51566,San Francisco,1
Master,Business Administration,1,105452,Houston,1
Master,Business Administration,0,92823,Houston,0
Master,Business Administration,1,50806,San Francisco,1
Bachelor,Business Administration,0,105520,San Francisco,0
Bachelor,Computer Science,1,31759,New York,1
PhD,Computer Science,1,71949,New York,0
PhD,Business Administration,1,32482,San Francisco,1
Master,Business Administration,1,54442,Chicago,1
PhD,Computer Science,1,63719,Chicago,0
Bachelor,Electrical Engineering,1,88066,New York,1
PhD,Computer Science,1,32079,Los Angeles,1
Bachelor,Computer Science,1,32717,San Francisco,0
Master,Computer Science,0,89676,Houston,0
Master,Computer Science,0,57952,Chicago,0
Bachelor,Computer Science,0,116444,Los Angeles,1
PhD,Electrical Engineering,1,72460,Chicago,0
Master,Business Administration,1,102847,Los Angeles,0
Master,Business Administration,1,119106,San Francisco,1
PhD,Electrical Engineering,0,48449,San Francisco,1
PhD,Business Administration,0,63536,San Francisco,1
Bachelor,Business Administration,0,94077,New York,1
PhD,Business Administration,0,68258,Los Angeles,1
PhD,Electrical Engineering,0,78302,Houston,1
PhD,Electrical Engineering,1,58865,Houston,0
Bachelor,Business Administration,0,36645,San Francisco,0
Bachelor,Business Administration,1,68000,Houston,1
Master,Business Administration,1,56737,Chicago,0
Bachelor,Computer Science,1,41485,Los Angeles,0
Master,Computer Science,0,68565,Los Angeles,0
PhD,Computer Science,0,55522,Los Angeles,0
Master,Electrical Engineering,1,95155,Chicago,1
Master,Business Administration,0,85168,New York,1
PhD,Electrical Engineering,0,82487,Chicago,0
Master,Electrical Engineering,1,42342,Los Angeles,1
Bachelor,Electrical Engineering,1,70806,Los Angeles,0
Bachelor,Business Administration,1,78770,Los Angeles,0
Bachelor,Computer Science,1,108623,Houston,1
Bachelor,Business Administration,1,105629,New York,0
Master,Business Administration,0,82603,Chicago,1
Master,Electrical Engineering,1,111974,Los Angeles,1
PhD,Electrical Engineering,0,56399,San Francisco,1
Master,Electrical Engineering,0,115382,New York,1
Master,Computer Science,1,111244,San Francisco,1
Master,Computer Science,1,106534,New York,1
PhD,Computer Science,0,85106,Los Angeles,1
Bachelor,Business Administration,1,60678,New York,1
Master,Electrical Engineering,0,106218,New York,1
PhD,Business Administration,1,93230,Los Angeles,0
PhD,Computer Science,1,104055,San Francisco,1
PhD,Electrical Engineering,0,86373,San Francisco,0
Bachelor,Computer Science,0,61480,Houston,1
Master,Electrical Engineering,1,115230,San Francisco,0
PhD,Electrical Engineering,1,98836,San Francisco,1
Bachelor,Business Administration,1,102258,New York,1
PhD,Business Administration,0,69986,Houston,1
PhD,Computer Science,1,54160,Los Angeles,0
PhD,Business Administration,1,115595,Los Angeles,0
PhD,Business Administration,1,109111,Chicago,1
PhD,Business Administration,1,94929,Houston,0
Bachelor,Electrical Engineering,0,103506,New York,1
Master,Business Administration,0,64911,Chicago,0
Master,Computer Science,0,117127,Chicago,0
Master,Electrical Engineering,1,61821,Los Angeles,0
Master,Electrical Engineering,1,105039,San Francisco,1
Bachelor,Business Administration,1,90535,New York,0
Bachelor,Electrical Engineering,0,114458,Houston,0
Bachelor,Computer Science,0,42175,Chicago,1
PhD,Computer Science,0,84771,New York,1
PhD,Electrical Engineering,0,116925,Los Angeles,0
PhD,Business Administration,1,96358,Chicago,0
Master,Business Administration,0,47327,Chicago,1
PhD,Electrical Engineering,0,77057,Los Angeles,1
Master,Computer Science,1,36150,Los Angeles,1
PhD,Electrical Engineering,0,34425,Los Angeles,1
Master,Business Administration,1,46032,New York,1
PhD,Business Administration,1,32198,New York,0
PhD,Electrical Engineering,1,90500,New York,1
Bachelor,Computer Science,1,83394,San Francisco,1
PhD,Electrical Engineering,1,50079,Chicago,0
PhD,Computer Science,0,66220,New York,1
Bachelor,Computer Science,0,71874,San Francisco,1
Master,Electrical Engineering,1,43859,Chicago,1
Bachelor,Electrical Engineering,0,80460,New York,0
Bachelor,Computer Science,1,61419,Los Angeles,1
Master,Computer Science,0,38705,Houston,1
PhD,Computer Science,0,72880,New York,1
Master,Computer Science,0,53236,Houston,1
PhD,Business Administration,0,117955,New York,0
PhD,Electrical Engineering,0,115514,Los Angeles,0
Master,Computer Science,0,45358,Houston,1
Bachelor,Electrical Engineering,0,106918,San Francisco,1
Master,Computer Science,1,44596,Los Angeles,1
PhD,Electrical Engineering,1,63572,Houston,1
Master,Electrical Engineering,1,108757,Houston,1
Master,Computer Science,0,31279,Los Angeles,1
PhD,Computer Science,0,93197,Los Angeles,1
Bachelor,Electrical Engineering,1,92516,Los Angeles,0
Master,Electrical Engineering,1,37083,Chicago,1
PhD,Electrical Engineering,0,47771,San Francisco,0
PhD,Business Administration,1,59975,New York,0
Master,Computer Science,1,75648,Houston,1
Bachelor,Business Administration,1,78285,New York,0
Master,Business Administration,1,49063,Los Angeles,0
Bachelor,Computer Science,0,97642,San Francisco,0
Bachelor,Computer Science,1,116143,San Francisco,1
Bachelor,Business Administration,1,67599,Chicago,0
Bachelor,Computer Science,1,81920,Los Angeles,0
Master,Electrical Engineering,1,58529,Houston,1
PhD,Electrical Engineering,0,65954,Chicago,1
PhD,Business Administration,1,57856,Los Angeles,0
PhD,Business Administration,1,32573,Chicago,1
PhD,Computer Science,1,108344,New York,1
PhD,Computer Science,1,65367,Los Angeles,0
PhD,Business Administration,1,90774,Houston,0
Master,Business Administration,0,53752,Houston,0
Bachelor,Electrical Engineering,1,85029,Los Angeles,1
PhD,Electrical Engineering,1,47685,Chicago,0
Master,Computer Science,0,81693,San Francisco,0
PhD,Electrical Engineering,1,85961,Los Angeles,1
PhD,Computer Science,0,106908,Houston,1
Bachelor,Computer Science,1,104532,New York,1
Bachelor,Computer Science,0,111994,Houston,1
Bachelor,Electrical Engineering,0,86133,San Francisco,0
PhD,Business Administration,1,91268,Houston,0
PhD,Business Administration,0,68243,San Francisco,0
PhD,Electrical Engineering,1,87384,Los Angeles,1
Bachelor,Business Administration,0,61653,Houston,0
Master,Computer Science,0,56657,Chicago,1
PhD,Business Administration,1,69952,Chicago,1
PhD,Electrical Engineering,0,52180,Houston,1
PhD,Business Administration,1,108411,Houston,0
Master,Computer Science,0,31622,New York,1
PhD,Computer Science,0,78756,Houston,0
Master,Electrical Engineering,1,70809,New York,0
PhD,Electrical Engineering,1,46725,New York,0
Master,Electrical Engineering,0,91396,New York,1
PhD,Computer Science,1,81226,New York,0
Bachelor,Business Administration,1,111182,Los Angeles,0
Bachelor,Business Administration,0,112565,Chicago,1
Bachelor,Electrical Engineering,0,59402,New York,0
Bachelor,Business Administration,1,34263,Chicago,1
PhD,Business Administration,0,76828,New York,0
Bachelor,Electrical Engineering,1,77924,Chicago,1
Master,Electrical Engineering,1,104182,Houston,1
Bachelor,Computer Science,1,89052,Houston,1
Bachelor,Computer Science,1,41664,Chicago,1
Bachelor,Computer Science,1,65737,New York,1
PhD,Computer Science,1,119563,Los Angeles,0
Bachelor,Business Administration,0,59373,Chicago,0
Master,Business Administration,1,66397,San Francisco,0
Bachelor,Computer Science,0,116145,Los Angeles,0
Bachelor,Computer Science,1,68709,San Francisco,1
Bachelor,Electrical Engineering,0,91120,Chicago,1
Master,Business Administration,0,49250,New York,0
Bachelor,Business Administration,0,51172,San Francisco,1
Master,Computer Science,1,41555,Chicago,0
Master,Business Administration,0,117410,Los Angeles,1
Bachelor,Electrical Engineering,0,108617,New York,1
Master,Electrical Engineering,1,83276,San Francisco,0
PhD,Business Administration,0,87492,Chicago,0
Bachelor,Computer Science,0,83002,New York,1
Bachelor,Business Administration,1,119599,New York,0
Master,Electrical Engineering,0,102355,Houston,0
Master,Computer Science,0,54762,New York,0
Bachelor,Business Administration,1,41046,Chicago,0
PhD,Computer Science,0,58769,Los Angeles,1
Master,Computer Science,0,83302,Houston,1
Master,Electrical Engineering,0,53150,Chicago,1
PhD,Computer Science,0,98247,Chicago,1
PhD,Business Administration,1,34853,Chicago,0
Bachelor,Computer Science,1,119399,San Francisco,0
PhD,Computer Science,1,51792,San Francisco,0
Bachelor,Business Administration,1,89129,Los Angeles,1
PhD,Electrical Engineering,0,104478,Chicago,1
Master,Electrical Engineering,1,97298,San Francisco,1
Bachelor,Business Administration,1,61987,San Francisco,1
Bachelor,Business Administration,0,45850,San Francisco,0
Bachelor,Electrical Engineering,0,42112,Los Angeles,0
PhD,Computer Science,0,54058,Los Angeles,0
Master,Business Administration,1,75420,Chicago,1
Bachelor,Computer Science,0,68890,Houston,1
Bachelor,Business Administration,0,96017,Chicago,1
Bachelor,Electrical Engineering,0,77304,San Francisco,1
Bachelor,Computer Science,1,62921,San Francisco,1
Master,Computer Science,1,31524,New York,1
PhD,Business Administration,1,45048,Chicago,0
Master,Computer Science,1,65111,San Francisco,1
Bachelor,Business Administration,1,67904,San Francisco,1
Master,Electrical Engineering,1,84912,Houston,1
Bachelor,Computer Science,1,64008,New York,0
PhD,Business Administration,0,30060,Chicago,0
PhD,Computer Science,0,104666,Los Angeles,1
PhD,Business Administration,0,113559,Chicago,0
Bachelor,Business Administration,1,85337,Chicago,0
Master,Business Administration,1,43350,Houston,0
PhD,Electrical Engineering,0,54354,Chicago,1
Bachelor,Computer Science,0,75186,Houston,0
Bachelor,Electrical Engineering,1,58145,Houston,0
Master,Business Administration,1,64020,San Francisco,0
PhD,Business Administration,1,116123,Los Angeles,1
Bachelor,Electrical Engineering,1,105186,Houston,0
Master,Electrical Engineering,1,115469,New York,1
PhD,Computer Science,1,50581,New York,0
Master,Business Administration,1,118929,Los Angeles,1
Master,Electrical Engineering,1,53051,Houston,1
Bachelor,Business Administration,0,81474,Los Angeles,1
Bachelor,Business Administration,1,99626,San Francisco,1
Bachelor,Computer Science,1,36960,New York,1
Master,Computer Science,1,65772,Chicago,0
Bachelor,Computer Science,0,51520,New York,0
Master,Electrical Engineering,0,79481,Houston,0
Master,Business Administration,1,66408,Los Angeles,1
Bachelor,Electrical Engineering,0,87134,New York,1
PhD,Electrical Engineering,0,50491,Chicago,1
PhD,Computer Science,0,31341,Chicago,0
PhD,Business Administration,1,74623,Los Angeles,1
Master,Business Administration,1,30338,Los Angeles,1
Master,Computer Science,1,101431,New York,1
Master,Business Administration,1,42254,Houston,1
Bachelor,Computer Science,1,81860,San Francisco,0
Master,Electrical Engineering,1,41344,Chicago,1
Bachelor,Electrical Engineering,1,31750,Los Angeles,1
Bachelor,Computer Science,0,84756,San Francisco,1
PhD,Electrical Engineering,1,97957,San Francisco,1
PhD,Electrical Engineering,1,88053,San Francisco,0
PhD,Computer Science,1,100855,Houston,1
Bachelor,Electrical Engineering,1,45896,Los Angeles,0
Bachelor,Business Administration,1,85761,Chicago,0
Bachelor,Electrical Engineering,1,92552,Los Angeles,1
Master,Computer Science,1,107454,New York,1
Bachelor,Business Administration,1,57935,Chicago,0
PhD,Business Administration,0,67641,Los Angeles,1
PhD,Electrical Engineering,0,59711,Chicago,1
Bachelor,Business Administration,1,100342,New York,0
Bachelor,Computer Science,1,42182,Chicago,0
PhD,Business Administration,0,117833,San Francisco,0
Bachelor,Electrical Engineering,1,86276,Houston,0
PhD,Electrical Engineering,1,49541,New York,0
Master,Business Administration,0,112310,Chicago,0
PhD,Computer Science,1,74813,New York,1
Master,Computer Science,1,67198,San Francisco,1
Bachelor,Electrical Engineering,1,38820,Houston,1
Bachelor,Electrical Engineering,0,54070,New York,1
Master,Computer Science,0,99768,San Francisco,1
Bachelor,Business Administration,1,41122,San Francisco,1
Master,Business Administration,0,110559,San Francisco,1
Bachelor,Business Administration,0,103543,Chicago,1
PhD,Business Administration,0,113441,Los Angeles,1
Bachelor,Computer Science,1,71786,New York,0
PhD,Electrical Engineering,0,36737,Los Angeles,0
PhD,Electrical Engineering,0,66062,San Francisco,1
Master,Business Administration,0,84237,Los Angeles,1
Bachelor,Computer Science,1,81571,San Francisco,0
Master,Computer Science,0,55510,San Francisco,0
Bachelor,Business Administration,0,49426,Houston,0
PhD,Business Administration,1,67265,Houston,1
PhD,Business Administration,0,47850,Los Angeles,0
Bachelor,Electrical Engineering,0,96150,New York,0
Bachelor,Business Administration,0,117312,Los Angeles,0
Master,Electrical Engineering,1,119613,New York,1
Bachelor,Computer Science,1,104910,Los Angeles,0
Bachelor,Computer Science,0,82375,Chicago,1
Bachelor,Electrical Engineering,0,65435,Chicago,0
Master,Electrical Engineering,0,87132,New York,0
Bachelor,Electrical Engineering,0,108945,Houston,1
PhD,Electrical Engineering,0,112050,New York,0
Master,Business Administration,0,32983,Los Angeles,0
Master,Computer Science,1,50662,San Francisco,0
PhD,Business Administration,0,53510,Chicago,1
PhD,Electrical Engineering,0,108187,San Francisco,1
PhD,Business Administration,0,70998,Chicago,1
Bachelor,Business Administration,1,86846,Los Angeles,0
PhD,Computer Science,0,36640,Chicago,1
Bachelor,Business Administration,1,74547,New York,0
Master,Computer Science,0,84620,San Francisco,0
Master,Electrical Engineering,0,45317,San Francisco,0
PhD,Business Administration,0,37564,Los Angeles,0
Bachelor,Electrical Engineering,0,57345,San Francisco,0
PhD,Computer Science,0,109273,Los Angeles,0
PhD,Electrical Engineering,0,104859,Houston,0
Bachelor,Electrical Engineering,1,110765,New York,0
PhD,Computer Science,0,104038,Chicago,1
Master,Electrical Engineering,0,82393,Chicago,1
PhD,Electrical Engineering,0,96081,Chicago,0
Bachelor,Electrical Engineering,1,59430,Houston,1
Bachelor,Business Administration,0,105532,New York,1
Master,Electrical Engineering,1,57788,San Francisco,1
Bachelor,Computer Science,0,78543,San Francisco,0
Bachelor,Business Administration,0,43919,New York,1
Master,Business Administration,1,99346,New York,0
PhD,Computer Science,1,69974,Chicago,1
Master,Electrical Engineering,0,46371,San Francisco,1
PhD,Business Administration,1,75084,New York,1
Master,Business Administration,1,59629,San Francisco,0
PhD,Business Administration,0,81184,New York,0
Master,Electrical Engineering,0,91916,Los Angeles,0
PhD,Business Administration,0,103972,Chicago,0
Master,Computer Science,1,92187,New York,0
PhD,Electrical Engineering,0,42984,Houston,0
Master,Computer Science,0,63039,New York,0
Bachelor,Computer Science,1,115431,Los Angeles,0
PhD,Business Administration,1,113691,Houston,0
Master,Business Administration,0,88606,Houston,1
PhD,Business Administration,1,40616,New York,1
PhD,Computer Science,1,80072,Los Angeles,0
Master,Electrical Engineering,1,54574,Houston,1
PhD,Business Administration,0,33430,Chicago,1
Master,Business Administration,0,42676,Chicago,0
Bachelor,Computer Science,0,40816,San Francisco,0
PhD,Electrical Engineering,1,62733,San Francisco,1
Bachelor,Computer Science,0,115680,Los Angeles,0
PhD,Business Administration,0,32050,Houston,1
PhD,Computer Science,1,63933,Chicago,0
PhD,Business Administration,1,54951,Chicago,1
Master,Electrical Engineering,0,62413,Los Angeles,0
Bachelor,Computer Science,1,64801,Houston,1
PhD,Business Administration,0,85619,Los Angeles,1
Master,Business Administration,0,62913,New York,1
PhD,Business Administration,0,70600,Chicago,1
Master,Business Administration,1,87775,Los Angeles,0
PhD,Computer Science,1,65400,Los Angeles,1
Bachelor,Business Administration,0,34494,New York,0
Bachelor,Computer Science,0,110688,San Francisco,1
PhD,Business Administration,0,119431,Chicago,0
Master,Computer Science,0,104691,Los Angeles,1
PhD,Computer Science,1,73001,Chicago,0
Master,Business Administration,0,97364,San Francisco,1
PhD,Business Administration,0,75028,Los Angeles,1
Master,Business Administration,1,67573,New York,0
Bachelor,Business Administration,0,30806,Chicago,1
PhD,Electrical Engineering,0,86638,New York,1
Bachelor,Business Administration,0,59757,San Francisco,1
Bachelor,Business Administration,0,64636,San Francisco,1
PhD,Business Administration,0,110097,Chicago,0
PhD,Computer Science,1,78280,San Francisco,1
Master,Business Administration,1,54262,Houston,0
Master,Computer Science,1,110435,Chicago,0
Bachelor,Computer Science,1,92211,Houston,0
Master,Computer Science,0,84842,San Francisco,0
Master,Computer Science,1,86979,Chicago,1
PhD,Electrical Engineering,1,111470,Houston,1
Master,Business Administration,1,68197,San Francisco,0
Bachelor,Computer Science,1,71844,Los Angeles,1
Master,Business Administration,1,94754,Los Angeles,1
Bachelor,Computer Science,1,64157,New York,0
PhD,Electrical Engineering,1,107129,Los Angeles,0
Bachelor,Computer Science,1,70042,Houston,0
Master,Business Administration,0,91665,Los Angeles,1
PhD,Business Administration,1,112856,Chicago,0
Master,Electrical Engineering,0,57376,Chicago,0
PhD,Business Administration,1,85554,Chicago,1
PhD,Business Administration,1,44199,Los Angeles,1
Master,Computer Science,1,111412,Los Angeles,1
Master,Business Administration,0,80948,New York,1
PhD,Computer Science,0,103781,San Francisco,1
PhD,Electrical Engineering,1,102750,New York,1
Master,Business Administration,0,96262,Houston,1
Bachelor,Computer Science,1,76600,Chicago,1
Master,Business Administration,0,106898,Los Angeles,0
PhD,Computer Science,0,92483,San Francisco,1
Master,Electrical Engineering,0,48297,San Francisco,0
Bachelor,Computer Science,1,60448,Los Angeles,1
Master,Business Administration,0,56172,New York,1
PhD,Computer Science,0,72874,San Francisco,0
Master,Business Administration,1,37657,New York,1
PhD,Electrical Engineering,0,114386,Los Angeles,0
PhD,Computer Science,1,55425,New York,1
Master,Business Administration,1,56685,Chicago,0
PhD,Business Administration,0,54578,Los Angeles,0
PhD,Business Administration,1,58831,Los Angeles,1
Bachelor,Computer Science,0,37906,San Francisco,0
Bachelor,Computer Science,0,91413,San Francisco,0
Bachelor,Computer Science,1,84028,San Francisco,1
Bachelor,Electrical Engineering,0,37287,Chicago,1
PhD,Business Administration,0,63660,Chicago,0
Master,Business Administration,1,105758,Houston,1
PhD,Electrical Engineering,1,90504,Los Angeles,0
PhD,Electrical Engineering,0,89720,San Francisco,0
PhD,Computer Science,1,64701,Los Angeles,0
Master,Computer Science,1,113300,New York,1
Bachelor,Computer Science,1,47674,Chicago,1
PhD,Computer Science,1,113560,Houston,0
PhD,Computer Science,0,53874,New York,0
Bachelor,Computer Science,0,73642,Los Angeles,0
PhD,Electrical Engineering,1,95160,Chicago,1
Master,Electrical Engineering,0,47602,San Francisco,0
PhD,Electrical Engineering,1,118801,New York,1
PhD,Business Administration,1,55931,Chicago,0
Bachelor,Business Administration,0,59192,Los Angeles,0
PhD,Computer Science,0,76542,Los Angeles,0
PhD,Electrical Engineering,0,72520,New York,0
Master,Business Administration,0,94772,New York,1
Bachelor,Business Administration,1,88762,New York,1
Bachelor,Electrical Engineering,1,80106,Houston,1
Master,Business Administration,0,111121,San Francisco,1
PhD,Business Administration,1,55559,Chicago,1
Bachelor,Electrical Engineering,0,63742,Los Angeles,0
Bachelor,Business Administration,0,99669,Los Angeles,1
PhD,Electrical Engineering,0,110199,San Francisco,1
PhD,Business Administration,1,51754,New York,1
Bachelor,Electrical Engineering,1,33972,New York,1
PhD,Business Administration,0,100831,Los Angeles,0
Bachelor,Business Administration,0,71873,San Francisco,0
PhD,Electrical Engineering,0,39903,Los Angeles,0
PhD,Business Administration,0,33020,New York,1
Master,Electrical Engineering,1,71755,Chicago,0
PhD,Electrical Engineering,1,115956,New York,0
Master,Business Administration,0,116988,Chicago,1
PhD,Computer Science,0,75648,Houston,1
Bachelor,Business Administration,1,39516,San Francisco,1
Bachelor,Computer Science,0,32396,Houston,0
PhD,Computer Science,1,114082,New York,1
PhD,Business Administration,1,49129,San Francisco,0
Bachelor,Computer Science,0,31591,New York,0
PhD,Electrical Engineering,1,41303,San Francisco,0
Master,Electrical Engineering,1,60561,San Francisco,0
Master,Computer Science,1,101719,New York,0
Master,Electrical Engineering,1,116231,New York,1
Master,Business Administration,0,37314,San Francisco,0
Master,Electrical Engineering,1,49623,San Francisco,0
PhD,Computer Science,1,97675,New York,0
PhD,Business Administration,1,95082,New York,0
Master,Electrical Engineering,0,113624,Los Angeles,0
PhD,Business Administration,0,63130,Los Angeles,1
PhD,Computer Science,0,81756,Los Angeles,0
Master,Electrical Engineering,1,56292,Houston,0
PhD,Business Administration,0,116206,San Francisco,0
PhD,Business Administration,0,99274,Chicago,0
PhD,Electrical Engineering,0,32469,Houston,1
Master,Business Administration,1,83947,San Francisco,0
PhD,Business Administration,0,52534,Chicago,0
Bachelor,Computer Science,0,93620,Los Angeles,0
Bachelor,Computer Science,0,78874,Chicago,0
Master,Computer Science,1,79708,New York,1
Bachelor,Computer Science,1,104553,New York,1
Master,Computer Science,0,98344,San Francisco,1
Bachelor,Computer Science,0,79138,Houston,0
Bachelor,Electrical Engineering,0,84302,Los Angeles,1
Bachelor,Computer Science,1,77638,San Francisco,1
Master,Business Administration,1,108249,Los Angeles,1
Master,Electrical Engineering,0,32719,New York,1
PhD,Business Administration,1,52890,Houston,1
Master,Computer Science,0,107236,Houston,0
Bachelor,Computer Science,1,66509,New York,1
Bachelor,Business Administration,0,72534,Chicago,1
Master,Business Administration,1,48787,Houston,1
Master,Business Administration,0,78845,Chicago,0
Master,Electrical Engineering,1,87932,Los Angeles,0
PhD,Computer Science,0,63062,Houston,1
Bachelor,Business Administration,0,105713,New York,0
PhD,Computer Science,0,117263,Chicago,0
PhD,Business Administration,0,90461,Los Angeles,1
Bachelor,Computer Science,1,105418,Los Angeles,0
Bachelor,Electrical Engineering,0,96672,Houston,1
Master,Computer Science,1,64832,Houston,1
Master,Business Administration,1,61966,San Francisco,1
PhD,Computer Science,0,102545,San Francisco,0
Master,Electrical Engineering,0,42987,Houston,1
Master,Electrical Engineering,0,67311,San Francisco,1
Bachelor,Computer Science,0,61575,New York,0
Bachelor,Business Administration,1,93852,New York,1
Master,Electrical Engineering,1,31007,San Francisco,0
Bachelor,Electrical Engineering,1,100981,Houston,0
Master,Computer Science,1,106242,New York,1
Bachelor,Electrical Engineering,0,77517,Los Angeles,0
Bachelor,Electrical Engineering,1,59257,Houston,1
Bachelor,Business Administration,0,117272,Chicago,0
Bachelor,Business Administration,0,72207,Chicago,0
Master,Business Administration,1,43281,Houston,0
PhD,Computer Science,1,91246,San Francisco,0
Bachelor,Electrical Engineering,1,31435,New York,1
Master,Computer Science,1,56660,New York,1
Master,Electrical Engineering,1,35084,Houston,0
Bachelor,Electrical Engineering,1,112197,Los Angeles,1
PhD,Electrical Engineering,0,43507,San Francisco,1
Bachelor,Business Administration,0,102595,Los Angeles,1
Master,Computer Science,0,113807,Houston,1
PhD,Computer Science,1,75539,Houston,1
Master,Electrical Engineering,0,37491,Los Angeles,1
Bachelor,Computer Science,0,80192,Chicago,1
PhD,Business Administration,0,110395,Houston,0
Master,Computer Science,0,93888,San Francisco,1
Master,Electrical Engineering,0,103609,Los Angeles,0
Master,Business Administration,0,39077,Chicago,0
Bachelor,Business Administration,1,50953,Los Angeles,0
PhD,Electrical Engineering,1,106919,Chicago,1
Bachelor,Computer Science,1,97889,Chicago,1
Bachelor,Electrical Engineering,0,53821,San Francisco,0
Bachelor,Computer Science,1,67567,Houston,0
PhD,Computer Science,1,54860,Chicago,1
Bachelor,Business Administration,0,51195,Houston,1
Bachelor,Electrical Engineering,1,107475,San Francisco,1
Bachelor,Business Administration,0,117266,Houston,0
Bachelor,Electrical Engineering,1,51427,New York,0
Master,Electrical Engineering,0,57083,Chicago,1
Bachelor,Business Administration,0,117046,San Francisco,1
Master,Electrical Engineering,1,87372,Los Angeles,0
Bachelor,Electrical Engineering,0,74064,San Francisco,1
PhD,Computer Science,1,37813,Chicago,1
Master,Electrical Engineering,0,61598,San Francisco,0
Master,Electrical Engineering,1,57082,Los Angeles,0
Master,Business Administration,1,59241,New York,0
Master,Business Administration,0,74569,Chicago,0
PhD,Electrical Engineering,1,41745,Chicago,1
Bachelor,Computer Science,1,56029,San Francisco,0
Master,Computer Science,1,43025,Houston,1
PhD,Business Administration,0,44288,Houston,1
Master,Electrical Engineering,0,119186,Los Angeles,1
Bachelor,Electrical Engineering,1,36540,New York,0
Master,Computer Science,1,111958,New York,0
PhD,Computer Science,0,98878,San Francisco,1
Bachelor,Computer Science,0,71846,San Francisco,1
PhD,Business Administration,1,105932,Houston,0
Bachelor,Electrical Engineering,0,47482,New York,1
Bachelor,Business Administration,0,53411,New York,1
Bachelor,Electrical Engineering,1,80975,New York,1
Master,Business Administration,0,90545,Los Angeles,1
PhD,Electrical Engineering,0,108797,Los Angeles,1
PhD,Computer Science,0,82307,San Francisco,1
PhD,Computer Science,1,33093,Houston,1
Bachelor,Computer Science,0,107258,Chicago,1
Master,Business Administration,1,52042,Houston,0
Bachelor,Computer Science,0,82930,Los Angeles,0
PhD,Electrical Engineering,0,74413,Los Angeles,1
Master,Business Administration,1,63756,San Francisco,1
Master,Electrical Engineering,1,83268,Chicago,0
Master,Business Administration,1,69214,New York,0
PhD,Electrical Engineering,1,111871,Chicago,0
Master,Electrical Engineering,0,58602,Chicago,1
Master,Business Administration,1,83331,Chicago,0
